Date,CPI_change_lag1,CPI_yoy_lag1,CPI_change_3m_lag1,Inflation_Regime_lag1,UMich_Sentiment_lag1,CB_Confidence_lag1
2013-05-31,-0.48500000000001364,0.01138808047576867,0.039333333333331666,0.0,76.4,69.0
2013-06-30,0.09600000000000364,0.013903888279197085,-0.3480000000000037,0.0,84.5,74.3
2013-07-31,0.5519999999999925,0.017157935271568725,0.054333333333327495,0.0,84.1,82.1
2013-08-31,0.4550000000000125,0.01885471805415806,0.36766666666666953,0.0,85.1,81.0
2013-09-30,0.5559999999999832,0.01538809488600279,0.520999999999996,0.0,82.1,81.8
2013-10-31,0.08800000000002228,0.010947341081747997,0.36633333333333934,0.0,77.5,80.2
2013-11-30,0.125,0.00876799143491147,0.25633333333333513,0.0,73.2,72.4
2013-12-31,0.4309999999999832,0.012328701961954458,0.21466666666666848,0.0,75.1,72.0
2014-01-31,0.6189999999999998,0.015128383667573297,0.391666666666661,0.0,82.5,77.5
2014-02-28,0.5690000000000168,0.01557758795574915,0.5396666666666666,0.0,81.2,79.4
2014-03-31,0.25899999999998613,0.011204746347724948,0.4823333333333342,0.0,81.6,78.3
2014-04-30,0.48099999999999454,0.016126949139408042,0.4363333333333325,0.0,80.0,83.9
2014-05-31,0.4399999999999977,0.02015125303606169,0.39333333333332615,0.0,84.1,81.7
2014-06-30,0.45000000000001705,0.02166947687079812,0.4570000000000031,0.0,81.9,82.2
2014-07-31,0.3129999999999882,0.020589816945944195,0.40100000000000097,0.0,82.5,86.4
2014-08-31,0.2669999999999959,0.019742378703305974,0.3433333333333337,0.0,81.8,90.3
2014-09-30,-0.03799999999998249,0.017150983482969062,0.1806666666666672,0.0,82.5,93.4
2014-10-31,0.016999999999995907,0.016840509711232077,0.08200000000000311,0.0,84.6,89.0
2014-11-30,-0.046999999999997044,0.016095417021513292,-0.02266666666666121,0.0,86.9,94.1
2014-12-31,-0.44700000000000273,0.01231524989320798,-0.15900000000000128,0.0,88.8,91.0
2015-01-31,-0.7309999999999945,0.006531213919623191,-0.40833333333333144,0.0,93.6,93.1
2015-02-28,-1.5049999999999955,-0.002299309782054282,-0.8943333333333309,0.0,98.1,103.8
2015-03-31,0.5949999999999989,-0.0008703146293520536,-0.546999999999997,0.0,95.4,98.8
2015-04-30,0.6339999999999861,-0.00022031284423873476,-0.09200000000000348,0.0,93.0,101.4
2015-05-31,0.24600000000000932,-0.0010403098939391064,0.49166666666666475,0.0,95.9,94.3
2015-06-30,0.7789999999999964,0.0003503321824429584,0.5529999999999973,0.0,90.7,94.6
2015-07-31,0.6560000000000059,0.001795718097550525,0.5603333333333372,0.0,96.1,99.8
2015-08-31,0.37699999999998113,0.0022568611104094582,0.6039999999999944,0.0,93.1,91.0
2015-09-30,-0.0010000000000047748,0.002413037985344868,0.3439999999999941,0.0,91.9,101.3
2015-10-31,-0.5349999999999966,8.842961634170088e-05,-0.05300000000000674,0.0,87.2,102.6
2015-11-30,0.23500000000001364,0.0012761656067050708,-0.10033333333332924,0.0,90.0,99.1
2015-12-31,0.2839999999999918,0.004363182169185187,-0.005333333333330377,0.0,91.3,92.6
2016-01-31,-0.2560000000000002,0.006387247515364791,0.0876666666666684,0.0,92.6,96.3
2016-02-29,-0.10900000000000887,0.012375025026943876,-0.02700000000000576,0.0,92.0,97.8
2016-03-31,-0.3159999999999741,0.008472775790126619,-0.2269999999999944,0.0,91.7,94.0
2016-04-30,0.7439999999999998,0.008916160965521946,0.10633333333333894,0.0,91.0,96.1
2016-05-31,0.9119999999999777,0.011726257503534843,0.4466666666666678,0.0,89.0,94.7
2016-06-30,0.5649999999999977,0.010784764621246223,0.7403333333333251,0.0,94.7,92.4
2016-07-31,0.6650000000000205,0.010792865347959424,0.7139999999999986,0.0,93.5,97.4
2016-08-31,-0.12100000000000932,0.008683633430518256,0.36966666666666964,0.0,90.0,96.7
2016-09-30,0.4439999999999884,0.010553158595656864,0.3293333333333332,0.0,89.8,101.8
2016-10-31,0.6310000000000002,0.015486446201652182,0.3179999999999931,0.0,91.2,103.5
2016-11-30,0.5650000000000261,0.01685924966243646,0.5466666666666716,0.0,87.2,100.8
2016-12-31,0.2849999999999966,0.016843334719788938,0.4936666666666743,0.0,93.8,109.4
2017-01-31,0.61099999999999,0.020507989115119862,0.48700000000000426,0.0,98.2,113.3
2017-02-28,0.9809999999999945,0.025103933482571117,0.6256666666666604,0.0,98.5,111.6
2017-03-31,0.38800000000000523,0.028103616813294208,0.6599999999999966,0.0,96.3,116.1
2017-04-30,-0.11400000000000432,0.0244119623655914,0.41833333333333184,0.0,96.9,124.9
2017-05-31,0.30100000000001614,0.02176223471915395,0.19166666666667234,0.0,97.0,119.4
2017-06-30,-0.18900000000002137,0.018563431667619756,-0.0006666666666698499,0.0,97.1,117.6
2017-07-31,0.15900000000002024,0.01640565809959127,0.09033333333333833,0.0,95.0,117.3
2017-08-31,0.07999999999998408,0.017251073506566073,0.016666666666660983,0.0,93.4,120.0
2017-09-30,0.9399999999999977,0.0192812155729698,0.3930000000000007,0.0,96.8,120.4
2017-10-31,1.2520000000000095,0.021805652303711787,0.7573333333333304,0.0,95.1,120.6
2017-11-30,0.1910000000000025,0.02020757753132485,0.7943333333333366,0.0,100.7,126.2
2017-12-31,0.657999999999987,0.02172493864295566,0.700333333333333,0.0,98.5,128.6
2018-01-31,0.521000000000015,0.021299307195522532,0.45666666666666816,0.0,95.9,123.1
2018-02-28,1.054000000000002,0.02151318868063945,0.7443333333333347,0.0,95.7,124.3
2018-03-31,0.6699999999999875,0.02263468931091861,0.7483333333333348,0.0,99.7,130.0
2018-04-30,0.04800000000000182,0.023309497646499366,0.5906666666666638,0.0,101.4,127.0
2018-05-31,0.6500000000000057,0.024709963021052994,0.45599999999999835,0.0,98.8,125.6
2018-06-30,0.5649999999999977,0.02781921607842497,0.42100000000000176,0.0,98.0,128.8
2018-07-31,0.2259999999999991,0.028075506935940187,0.48033333333333417,0.0,98.2,127.1
2018-08-31,0.19599999999999795,0.02854124785561929,0.32899999999999824,0.0,97.9,127.9
2018-09-30,0.4490000000000123,0.026429238568742575,0.29033333333333644,0.0,96.2,134.7
2018-10-31,0.518999999999977,0.02332055105808828,0.38799999999999574,0.0,100.1,135.3
2018-11-30,0.5900000000000034,0.02492032470218053,0.5193333333333309,0.0,98.6,137.9
2018-12-31,-0.17799999999999727,0.02147328577667773,0.31033333333332774,0.0,97.5,136.4
2019-01-31,0.17300000000000182,0.020023809043401064,0.19500000000000264,0.0,98.3,126.6
2019-02-28,-0.20599999999998886,0.014875893578291333,-0.0703333333333281,0.0,91.2,121.7
2019-03-31,0.7579999999999814,0.015188615351321877,0.24166666666666478,0.0,93.8,131.4
2019-04-30,0.9579999999999984,0.018831863513063984,0.5033333333333303,0.0,98.4,124.2
2019-05-31,0.9560000000000173,0.020005834702090608,0.8906666666666657,0.0,97.2,129.2
2019-06-30,0.06299999999998818,0.017959105553606136,0.6590000000000013,0.0,100.0,131.3
2019-07-31,-0.08299999999999841,0.01671194894390049,0.31200000000000233,0.0,98.2,124.3
2019-08-31,0.5889999999999986,0.01826331335037068,0.1896666666666628,0.0,98.4,135.8
2019-09-30,0.23400000000000887,0.017376412106666406,0.2466666666666697,0.0,89.8,134.2
2019-10-31,0.39400000000000546,0.016844977040391562,0.405666666666671,0.0,93.2,126.3
2019-11-30,0.7249999999999659,0.017339736996186295,0.4509999999999934,0.0,95.5,126.1
2019-12-31,0.7240000000000464,0.020922903948629168,0.6143333333333393,0.0,96.8,126.8
2020-01-31,0.7509999999999764,0.023195274699624457,0.7333333333333295,0.0,99.3,128.2
2020-02-29,0.4970000000000141,0.02599767976845202,0.6573333333333456,0.0,99.8,130.4
2020-03-31,0.12299999999999045,0.023413166797595197,0.45699999999999363,0.0,101.0,132.6
2020-04-30,-1.1739999999999782,0.014940399642909163,-0.18466666666665787,0.0,89.1,118.8
2020-05-31,-2.0440000000000396,0.003130472940411133,-1.0316666666666758,0.0,71.8,85.7
2020-06-30,-0.22999999999998977,0.001982013035848551,-1.1493333333333358,0.0,72.3,85.9
2020-07-31,1.2399999999999807,0.007166562831830481,-0.3446666666666829,0.0,78.1,98.3
2020-08-31,1.3100000000000023,0.009968647625897997,0.7733333333333311,0.0,72.5,91.7
2020-09-30,0.9639999999999986,0.012810698495523853,1.1713333333333271,0.0,74.1,86.3
2020-10-31,0.68100000000004,0.013910228912373812,0.9850000000000136,0.0,80.4,101.3
2020-11-30,0.32200000000000273,0.012303863428671624,0.6556666666666805,0.0,81.8,101.4
2020-12-31,0.5919999999999845,0.011757452138405844,0.5316666666666757,0.0,76.9,92.9
2021-01-31,1.1340000000000146,0.013204191315779434,0.6826666666666673,0.0,80.7,87.1
2021-02-28,0.6419999999999959,0.013738437137002402,0.7893333333333317,0.0,79.0,87.1
2021-03-31,0.8919999999999959,0.016698167791706853,0.8893333333333354,0.0,76.8,95.2
2021-04-30,1.382000000000005,0.026678187820641908,0.971999999999999,0.0,84.9,114.9
2021-05-31,1.6529999999999632,0.04133077115360573,1.308999999999988,1.0,88.3,117.5
2021-06-30,1.7690000000000055,0.04918257089467626,1.6013333333333246,1.0,82.9,120.0
2021-07-31,2.271000000000015,0.05295632620349999,1.8976666666666613,1.0,85.5,128.9
2021-08-31,1.2490000000000236,0.05245169381309234,1.7630000000000148,1.0,81.2,125.1
2021-09-30,0.7729999999999677,0.05152015301793966,1.431000000000002,1.0,70.3,115.2
2021-10-31,1.2340000000000373,0.05351215590949132,1.0853333333333428,1.0,72.8,109.8
2021-11-30,2.6399999999999864,0.06235042390298062,1.548999999999997,1.0,71.7,111.6
2021-12-31,2.3689999999999714,0.06901970403700863,2.080999999999998,1.0,67.4,111.9
2022-01-31,1.9260000000000446,0.07174340285065539,2.3116666666666674,1.0,70.6,115.2
2022-02-28,1.697999999999979,0.07558805726967832,1.997666666666665,1.0,67.2,111.1
2022-03-31,1.9569999999999936,0.07937278766517819,1.8603333333333392,1.0,62.8,105.7
2022-04-30,3.173999999999978,0.08572204966013852,2.276333333333317,1.0,59.4,107.6
2022-05-31,0.8870000000000005,0.08231750770777224,2.005999999999991,1.0,65.2,108.6
2022-06-30,2.737000000000023,0.08538171195642064,2.2660000000000005,1.0,58.4,103.2
2022-07-31,3.658999999999992,0.08979361103105798,2.427666666666672,1.0,50.0,98.4
2022-08-31,-0.04399999999998272,0.08462576727730098,2.117333333333344,1.0,51.5,95.3
2022-09-30,0.18399999999996908,0.08222579178218825,1.266333333333326,1.0,58.2,103.6
2022-10-31,1.2520000000000095,0.08192106896425821,0.46399999999999864,1.0,58.6,107.8
2022-11-30,1.6580000000000155,0.07758813957693,1.0313333333333314,1.0,59.9,102.2
2022-12-31,0.7789999999999964,0.07122856456533988,1.2296666666666738,1.0,56.7,101.4
2023-01-31,0.04599999999999227,0.06404600402357152,0.827666666666668,1.0,59.8,109.0
2023-02-28,1.5880000000000223,0.06327178517960097,0.804333333333337,1.0,64.9,106.0
2023-03-31,1.0299999999999727,0.05957820738137087,0.8879999999999958,1.0,66.9,103.4
2023-04-30,0.37100000000003774,0.04917719362889961,0.9963333333333443,1.0,62.0,104.0
2023-05-31,1.024000000000001,0.049500798791243694,0.8083333333333371,1.0,63.7,103.7
2023-06-30,0.4889999999999759,0.04131851231385042,0.6280000000000049,1.0,59.0,102.5
2023-07-31,0.6800000000000068,0.03070617072997095,0.7309999999999945,1.0,64.2,110.1
2023-08-31,0.5949999999999704,0.03287749268428297,0.5879999999999844,1.0,71.5,114.0
2023-09-30,1.4730000000000132,0.03722504803505289,0.9159999999999968,1.0,69.4,108.7
2023-10-31,1.1940000000000168,0.03687206638119256,1.0873333333333335,1.0,67.8,104.3
2023-11-30,0.4200000000000159,0.032512659098611785,1.0290000000000152,1.0,63.8,99.1
2023-12-31,0.4519999999999982,0.031333462745911866,0.688666666666677,1.0,61.3,101.0
2024-01-31,0.5929999999999609,0.033159099427102934,0.488333333333325,1.0,69.7,108.0
2024-02-29,0.9569999999999936,0.030883429864855705,0.6673333333333176,1.0,79.0,110.9
2024-03-31,1.2690000000000055,0.03157074141648697,0.9396666666666533,1.0,76.9,104.8
2024-04-30,1.3780000000000427,0.034868349120836584,1.2013333333333474,1.0,79.4,103.1
2024-05-31,0.6779999999999973,0.033607951262196734,1.1083333333333485,1.0,77.2,97.5
2024-06-30,0.1519999999999868,0.03244278584003113,0.736000000000009,1.0,69.1,101.3
2024-07-31,-0.13100000000002865,0.029702579486470926,0.23299999999998514,0.0,68.2,97.8
2024-08-31,0.5250000000000341,0.029414757935583014,0.1819999999999974,0.0,66.4,101.9
2024-09-30,0.492999999999995,0.02607144490692037,0.2956666666666668,0.0,67.9,105.6
2024-10-31,0.6700000000000159,0.024264830315416708,0.5626666666666816,0.0,70.1,99.2
2024-11-30,0.8989999999999441,0.02578844053871343,0.6873333333333184,0.0,70.5,109.6
2024-12-31,0.8970000000000482,0.02719472461284833,0.8220000000000027,0.0,71.8,112.8
2025-01-31,1.075999999999965,0.028706909675099812,0.957333333333319,0.0,74.0,109.5
2025-02-28,1.3570000000000277,0.029909783078999608,1.1100000000000136,0.0,71.7,105.3
2025-03-31,0.7179999999999609,0.028015834477613355,1.0503333333333178,0.0,64.7,100.1
2025-04-30,0.10600000000005139,0.02381981462805549,0.7270000000000133,0.0,57.0,93.9
2025-05-31,0.5169999999999959,0.0232538823025783,0.44700000000000273,0.0,52.2,85.7
2025-06-30,0.31799999999998363,0.023772651073680873,0.313666666666677,0.0,52.2,98.4
2025-07-31,0.8149999999999977,0.02680453865910226,0.5499999999999924,0.0,60.7,95.2
2025-08-31,0.7339999999999804,0.02742618052167134,0.6223333333333206,0.0,61.7,98.7
2025-09-30,1.122000000000014,0.029385917430316155,0.8903333333333308,0.0,58.2,97.8
2025-10-31,0.9540000000000077,0.030225715847133294,0.9366666666666674,1.0,55.1,95.6
2025-11-30,0.0,0.027291362382022122,0.6920000000000073,0.0,53.6,95.5
2025-12-31,0.8179999999999836,0.026964439164939513,0.5906666666666638,0.0,51.0,92.9
2026-01-31,0.9680000000000177,0.02653304114557753,0.5953333333333338,0.0,52.9,94.2
2026-02-28,0.5570000000000164,0.02391201432150014,0.7810000000000059,0.0,56.4,89.0
